"Date","Open","High","Low","Close","AdjClose","Volume"
"2021-06-03","14144.1015625","14550.744140625","14091.0615234375","14550.744140625","13902.6845703125","86730710"
"2021-06-04","14568.4248046875","15098.828125","14533.064453125","14692.185546875","14037.8271484375","93031288"
"2021-06-07","14674.5048828125","14674.5048828125","13790.4990234375","14055.701171875","13429.6904296875","89638777"
"2021-06-08","13967.2998046875","14126.421875","13118.654296875","13189.375","12601.9482421875","86070081"
"2021-06-09","13118.654296875","13719.7783203125","12994.8935546875","13631.3779296875","13024.265625","86613064"
"2021-06-10","13613.697265625","13772.8193359375","13330.8154296875","13401.5361328125","12804.66015625","44984970"
"2021-06-11","13507.6171875","14126.421875","13348.49609375","13931.9404296875","13311.44140625","70752318"
"2021-06-14","13931.9404296875","14108.7412109375","13755.138671875","13896.580078125","13277.6552734375","70672679"
"2021-06-15","13896.580078125","14126.421875","13666.73828125","13896.580078125","13277.6552734375","70391179"
"2021-06-16","13878.8994140625","13984.98046875","13666.73828125","13684.41796875","13074.943359375","58631365"
"2021-06-17","13436.896484375","14144.1015625","13401.5361328125","14108.7412109375","13480.3681640625","75364219"
"2021-06-18","14497.7041015625","14497.7041015625","14303.22265625","14338.5830078125","13699.9736328125","73878710"
"2021-06-21","14285.54296875","14480.0244140625","14179.4619140625","14373.943359375","13733.7587890625","53728684"
"2021-06-22","14497.7041015625","15010.427734375","14462.34375","14851.306640625","14189.861328125","105550712"
"2021-06-23","14939.70703125","15010.427734375","14674.5048828125","14815.9462890625","14156.0751953125","67097933"
"2021-06-24","15010.427734375","15116.5087890625","14745.2255859375","14851.306640625","14189.861328125","63694960"
"2021-06-25","14851.306640625","14922.02734375","14603.78515625","14886.6669921875","14223.646484375","53034967"
"2021-06-28","15063.4677734375","15310.990234375","15028.107421875","15240.26953125","14561.5","52727278"
"2021-06-29","15275.6298828125","15487.791015625","15028.107421875","15364.0302734375","14679.7490234375","53223033"
"2021-06-30","15381.7099609375","15717.6328125","15328.669921875","15328.669921875","14645.9638671875","73515874"
"2021-07-01","15346.3505859375","15452.4306640625","15116.5087890625","15364.0302734375","14679.7490234375","72003724"
"2021-07-02","15487.791015625","15487.791015625","15328.669921875","15364.0302734375","14679.7490234375","50228711"
"2021-07-05","15381.7099609375","15399.390625","14939.70703125","15240.26953125","14561.5","72805753"
"2021-07-06","15310.990234375","15364.0302734375","14179.4619140625","14179.4619140625","13547.9384765625","62135865"
"2021-07-07","14497.7041015625","14886.6669921875","13967.2998046875","14886.6669921875","14223.646484375","88886239"
"2021-07-08","14886.6669921875","15098.828125","14709.865234375","14886.6669921875","14223.646484375","59327909"
"2021-07-09","14727.5458984375","15063.4677734375","14568.4248046875","14798.2666015625","14139.1826171875","99991644"
"2021-07-12","15084.6845703125","15180.1572265625","13795.802734375","14225.4296875","13591.859375","70692679"
"2021-07-13","14368.638671875","14607.3212890625","13986.748046875","14225.4296875","13591.859375","29854193"
"2021-07-14","14225.4296875","14249.2978515625","13509.384765625","13771.9345703125","13158.5615234375","43091695"
"2021-07-15","13652.59375","14058.3525390625","13604.857421875","13986.748046875","13363.8076171875","33802966"
"2021-07-16","14082.220703125","14129.95703125","13819.6708984375","13891.275390625","13272.587890625","28051792"
"2021-07-19","13366.17578125","13700.330078125","12936.548828125","12960.4169921875","12383.1875","45600685"
"2021-07-20","13222.966796875","13318.439453125","12650.130859375","13318.439453125","12725.2646484375","31897080"
"2021-07-21","13413.912109375","13652.59375","13318.439453125","13366.17578125","12770.875","25661160"
"2021-07-22","13366.17578125","13604.857421875","13127.494140625","13533.2529296875","12930.5107421875","21990582"
"2021-07-23","13413.912109375","13557.12109375","13246.8349609375","13246.8349609375","12656.8486328125","23271577"
"2021-07-26","13032.021484375","13199.0986328125","12793.33984375","12984.28515625","12405.9921875","33484550"
"2021-07-27","13079.7578125","13246.8349609375","13032.021484375","13079.7578125","12497.212890625","24438612"
"2021-07-28","13103.6259765625","13294.5712890625","13055.8896484375","13175.23046875","12588.4345703125","12907984"
"2021-07-29","13318.439453125","13557.12109375","13270.703125","13557.12109375","12953.3154296875","34231780"
"2021-07-30","13604.857421875","13939.01171875","13557.12109375","13795.802734375","13181.3671875","39505329"
"2021-08-02","13795.802734375","13891.275390625","13652.59375","13748.06640625","13135.7568359375","25871314"
"2021-08-03","13795.802734375","14034.484375","13748.06640625","13986.748046875","13363.8076171875","37335913"
"2021-08-04","14082.220703125","14249.2978515625","14058.3525390625","14177.693359375","13546.2490234375","34507461"
"2021-08-05","14129.95703125","14320.90234375","14034.484375","14320.90234375","13683.080078125","34918049"
"2021-08-06","14320.90234375","14368.638671875","14129.95703125","14153.8251953125","13523.4443359375","27039356"
"2021-08-09","13986.748046875","14273.166015625","13891.275390625","14273.166015625","13637.4697265625","25839851"
"2021-08-10","14344.7705078125","14416.375","14082.220703125","14153.8251953125","13523.4443359375","28908162"
"2021-08-11","14177.693359375","14416.375","14082.220703125","14177.693359375","13546.2490234375","40916833"
"2021-08-12","14225.4296875","14320.90234375","14082.220703125","14082.220703125","13455.0283203125","20573213"
"2021-08-13","14082.220703125","14177.693359375","13891.275390625","14129.95703125","13500.638671875","23586850"
"2021-08-16","14129.95703125","14893.7392578125","14082.220703125","14798.2666015625","14139.1826171875","66982717"
"2021-08-17","15013.080078125","15180.1572265625","14798.2666015625","14893.7392578125","14230.4033203125","38877925"
"2021-08-18","14798.2666015625","14965.34375","14798.2666015625","14846.0029296875","14184.7939453125","26101076"
"2021-08-19","14702.7939453125","14846.0029296875","14464.1123046875","14846.0029296875","14184.7939453125","44415216"
"2021-08-20","14798.2666015625","14798.2666015625","14058.3525390625","14273.166015625","13637.4697265625","70501630"
"2021-08-23","14082.220703125","14201.5615234375","13628.7255859375","13652.59375","13044.5361328125","46077052"
"2021-08-24","13652.59375","13724.1982421875","13413.912109375","13628.7255859375","13021.7314453125","29674245"
"2021-08-25","13461.6484375","13652.59375","13294.5712890625","13652.59375","13044.5361328125","44385260"
"2021-08-26","13652.59375","13676.4619140625","13366.17578125","13413.912109375","12816.484375","30967557"
"2021-08-27","13246.8349609375","13390.0439453125","13008.1533203125","13366.17578125","12770.875","45809017"
"2021-08-30","13413.912109375","13795.802734375","13366.17578125","13557.12109375","12953.3154296875","34021686"
"2021-08-31","13652.59375","13700.330078125","13318.439453125","13318.439453125","12725.2646484375","21856302"
"2021-09-01","13318.439453125","13461.6484375","13222.966796875","13318.439453125","12725.2646484375","26705020"
"2021-09-02",,,,,,
"2021-09-03",,,,,,
"2021-09-06","13342.3076171875","13533.2529296875","13222.966796875","13509.384765625","12907.705078125","37526753"
"2021-09-07","13604.857421875","13771.9345703125","13533.2529296875","13652.59375","13044.5361328125","42858331"
"2021-09-08","13748.06640625","13748.06640625","13461.6484375","13509.384765625","12907.705078125","19595970"
"2021-09-09","13461.6484375","13604.857421875","13366.17578125","13557.12109375","12953.3154296875","21987230"
"2021-09-10","13557.12109375","13557.12109375","13461.6484375","13461.6484375","12862.095703125","17755653"
"2021-09-13","13342.3076171875","13509.384765625","13246.8349609375","13318.439453125","12725.2646484375","29050821"
"2021-09-14","13222.966796875","13366.17578125","13175.23046875","13175.23046875","12588.4345703125","23188830"
"2021-09-15","13127.494140625","13175.23046875","12984.28515625","13103.6259765625","12520.0185546875","25093668"
"2021-09-16","13127.494140625","13270.703125","13127.494140625","13270.703125","12679.654296875","20469100"
"2021-09-17","13366.17578125","13366.17578125","13199.0986328125","13294.5712890625","12702.458984375","20354930"
"2021-09-20","13437.7802734375","13604.857421875","13413.912109375","13485.5166015625","12884.900390625","38197731"
"2021-09-21","13318.439453125","13413.912109375","13199.0986328125","13366.17578125","12770.875","23987802"
"2021-09-22","13366.17578125","13437.7802734375","13222.966796875","13366.17578125","12770.875","19487876"
"2021-09-23","13366.17578125","13461.6484375","13270.703125","13318.439453125","12725.2646484375","24695858"
"2021-09-24","13366.17578125","13771.9345703125","13318.439453125","13700.330078125","13090.146484375","65206713"
"2021-09-27","13795.802734375","13843.5390625","13366.17578125","13366.17578125","12770.875","20044266"
"2021-09-28","13366.17578125","13413.912109375","13270.703125","13366.17578125","12770.875","15900672"
"2021-09-29","13366.17578125","13461.6484375","13246.8349609375","13270.703125","12679.654296875","24460188"
"2021-09-30","13270.703125","13437.7802734375","13246.8349609375","13294.5712890625","12702.458984375","15464737"
"2021-10-01","13318.439453125","13342.3076171875","13008.1533203125","13103.6259765625","12520.0185546875","37911386"
"2021-10-04","13103.6259765625","13127.494140625","12841.076171875","12936.548828125","12360.3828125","25626177"
"2021-10-05","12912.6806640625","13079.7578125","12912.6806640625","13079.7578125","12497.212890625","19823679"
"2021-10-06","13127.494140625","13151.3623046875","12960.4169921875","13127.494140625","12542.8232421875","21067176"
"2021-10-07","13318.439453125","13318.439453125","13151.3623046875","13199.0986328125","12611.2392578125","13633008"
"2021-10-08","13199.0986328125","13270.703125","13151.3623046875","13222.966796875","12634.0439453125","17033144"
"2021-10-11","13270.703125","13748.06640625","13246.8349609375","13748.06640625","13135.7568359375","52807355"
"2021-10-12","13915.1435546875","13915.1435546875","13628.7255859375","13724.1982421875","13112.9521484375","34353071"
"2021-10-13","13891.275390625","13891.275390625","13652.59375","13652.59375","13044.5361328125","22575461"
"2021-10-14","13724.1982421875","13748.06640625","13604.857421875","13604.857421875","12998.9267578125","27880225"
"2021-10-15","13724.1982421875","13724.1982421875","13533.2529296875","13557.12109375","12953.3154296875","17154225"
"2021-10-18","13724.1982421875","13724.1982421875","13533.2529296875","13557.12109375","12953.3154296875","17662642"
"2021-10-19","13604.857421875","13604.857421875","13413.912109375","13461.6484375","12862.095703125","21197266"
"2021-10-20","13604.857421875","13604.857421875","13270.703125","13461.6484375","12862.095703125","18723470"
"2021-10-21","13604.857421875","13604.857421875","13318.439453125","13318.439453125","12725.2646484375","21345371"
"2021-10-22","13437.7802734375","13437.7802734375","13294.5712890625","13318.439453125","12725.2646484375","15876162"
"2021-10-25","13342.3076171875","13366.17578125","13175.23046875","13175.23046875","12588.4345703125","19595551"
"2021-10-26","13222.966796875","13342.3076171875","13175.23046875","13342.3076171875","12748.0693359375","14322211"
"2021-10-27","13366.17578125","13557.12109375","13342.3076171875","13557.12109375","12953.3154296875","21382450"
"2021-10-28","13676.4619140625","13676.4619140625","13533.2529296875","13604.857421875","12998.9267578125","19072260"
"2021-10-29","13604.857421875","13652.59375","13461.6484375","13604.857421875","12998.9267578125","22941639"
"2021-11-01","13652.59375","13700.330078125","13509.384765625","13557.12109375","12953.3154296875","22315072"
"2021-11-02","13509.384765625","13604.857421875","13485.5166015625","13557.12109375","12953.3154296875","21891706"
"2021-11-03","13557.12109375","14082.220703125","13557.12109375","13915.1435546875","13295.392578125","58834418"
"2021-11-04","13962.8798828125","14010.6162109375","13771.9345703125","13795.802734375","13181.3671875","22655064"
"2021-11-05","13819.6708984375","13819.6708984375","13652.59375","13676.4619140625","13067.3408203125","17415870"
"2021-11-08","13676.4619140625","13748.06640625","13557.12109375","13604.857421875","12998.9267578125","29251297"
"2021-11-09","13652.59375","13819.6708984375","13604.857421875","13652.59375","13044.5361328125","25897877"
"2021-11-10","13748.06640625","13748.06640625","13628.7255859375","13652.59375","13044.5361328125","22452075"
"2021-11-11","13652.59375","13652.59375","13366.17578125","13413.912109375","12816.484375","33514715"
"2021-11-12","13366.17578125","13628.7255859375","13366.17578125","13628.7255859375","13021.7314453125","21719091"
"2021-11-15","13700.330078125","13843.5390625","13580.9892578125","13652.59375","13044.5361328125","26394774"
"2021-11-16","13748.06640625","13819.6708984375","13604.857421875","13676.4619140625","13067.3408203125","30219532"
"2021-11-17","13676.4619140625","13700.330078125","13557.12109375","13700.330078125","13090.146484375","14718345"
"2021-11-18","13700.330078125","13700.330078125","13509.384765625","13509.384765625","12907.705078125","32958117"
"2021-11-19","13461.6484375","13819.6708984375","13366.17578125","13509.384765625","12907.705078125","38696302"
"2021-11-22","13580.9892578125","14082.220703125","13557.12109375","13939.01171875","13318.197265625","50245155"
"2021-11-23","14010.6162109375","14034.484375","13771.9345703125","13795.802734375","13181.3671875","25044230"
"2021-11-24","13795.802734375","14750.5302734375","13724.1982421875","14750.5302734375","14093.5732421875","90070997"
"2021-11-25","14941.4755859375","15013.080078125","14678.92578125","14750.5302734375","14093.5732421875","45761779"
"2021-11-26","14846.0029296875","14869.87109375","14392.5068359375","14464.1123046875","13819.9111328125","48750989"
"2021-11-29","14177.693359375","14297.0341796875","14034.484375","14225.4296875","13591.859375","39146065"
"2021-11-30","14392.5068359375","14416.375","13795.802734375","13843.5390625","13226.9765625","50891833"
"2021-12-01","13843.5390625","14082.220703125","13748.06640625","14082.220703125","13455.0283203125","23568206"
"2021-12-02","14153.8251953125","14177.693359375","13891.275390625","13891.275390625","13272.587890625","17546798"
"2021-12-03","13986.748046875","14034.484375","13509.384765625","13509.384765625","12907.705078125","26064207"
"2021-12-06","13509.384765625","13628.7255859375","12888.8125","13127.494140625","12542.8232421875","34839702"
"2021-12-07","13222.966796875","13461.6484375","13199.0986328125","13437.7802734375","12839.2900390625","16910595"
"2021-12-08","13461.6484375","13700.330078125","13390.0439453125","13557.12109375","12953.3154296875","16062603"
"2021-12-09","13413.912109375","13652.59375","13413.912109375","13628.7255859375","13021.7314453125","10380350"
"2021-12-10","13676.4619140625","13700.330078125","13485.5166015625","13533.2529296875","12930.5107421875","13252376"
"2021-12-13","13533.2529296875","13604.857421875","13509.384765625","13557.12109375","12953.3154296875","19020937"
"2021-12-14","13533.2529296875","13652.59375","13461.6484375","13485.5166015625","12884.900390625","14136608"
"2021-12-15","13485.5166015625","13676.4619140625","13461.6484375","13604.857421875","12998.9267578125","14789360"
"2021-12-16","13748.06640625","13748.06640625","13461.6484375","13485.5166015625","12884.900390625","16741123"
"2021-12-17","13509.384765625","13557.12109375","13413.912109375","13461.6484375","12862.095703125","16424382"
"2021-12-20","13461.6484375","13485.5166015625","13318.439453125","13318.439453125","12725.2646484375","18500788"
"2021-12-21","13413.912109375","13461.6484375","13294.5712890625","13342.3076171875","12748.0693359375","14181018"
"2021-12-22","13342.3076171875","13390.0439453125","13151.3623046875","13199.0986328125","12611.2392578125","19346475"
"2021-12-23","13270.703125","13294.5712890625","12936.548828125","13032.021484375","12451.603515625","21984716"
"2021-12-24","13008.1533203125","13437.7802734375","13008.1533203125","13437.7802734375","12839.2900390625","16216889"
"2021-12-27","13509.384765625","13557.12109375","13318.439453125","13437.7802734375","12839.2900390625","9123865"
"2021-12-28","13533.2529296875","13557.12109375","13390.0439453125","13509.384765625","12907.705078125","16009814"
"2021-12-29","13580.9892578125","13771.9345703125","13485.5166015625","13509.384765625","12907.705078125","21087287"
"2021-12-30","13652.59375","13724.1982421875","13509.384765625","13580.9892578125","12976.12109375","11806726"
"2021-12-31","13700.330078125","14010.6162109375","13604.857421875","13795.802734375","13181.3671875","27922750"
"2022-01-03",,,,,,
"2022-01-04","13939.01171875","14034.484375","13867.4072265625","13891.275390625","13272.587890625","21118918"
"2022-01-05","13891.275390625","13915.1435546875","13676.4619140625","13700.330078125","13090.146484375","21768319"
"2022-01-06","13604.857421875","13652.59375","13437.7802734375","13533.2529296875","12930.5107421875","27758514"
"2022-01-07","13533.2529296875","13771.9345703125","13509.384765625","13652.59375","13044.5361328125","21633412"
"2022-01-10","13628.7255859375","13724.1982421875","13413.912109375","13413.912109375","12816.484375","27229358"
"2022-01-11","13485.5166015625","13604.857421875","13318.439453125","13318.439453125","12725.2646484375","18884659"
"2022-01-12","13461.6484375","13939.01171875","13390.0439453125","13939.01171875","13318.197265625","32238121"
"2022-01-13","14177.693359375","14726.662109375","14106.0888671875","14177.693359375","13546.2490234375","74037930"
"2022-01-14","14082.220703125","14392.5068359375","13962.8798828125","14153.8251953125","13523.4443359375","20937296"
"2022-01-17","14177.693359375","14678.92578125","14082.220703125","14082.220703125","13455.0283203125","64360187"
"2022-01-18","14177.693359375","14487.98046875","14082.220703125","14273.166015625","13637.4697265625","30602469"
"2022-01-19","14416.375","14702.7939453125","14129.95703125","14129.95703125","13500.638671875","26724920"
"2022-01-20","14177.693359375","14559.5849609375","13962.8798828125","14416.375","13774.30078125","35213840"
"2022-01-21","14416.375","15418.8388671875","14368.638671875","15180.1572265625","14504.0654296875","108368168"
"2022-01-24","15204.025390625","15752.9931640625","15108.552734375","15323.3662109375","14640.8955078125","71556381"
"2022-01-25","15275.6298828125","15609.7841796875","15227.8935546875","15562.0478515625","14868.947265625","44237783"
"2022-01-26","15729.125","16182.6201171875","15657.5205078125","15896.2021484375","15188.21875","63148322"
"2022-01-27","15752.9931640625","15920.0703125","15538.1796875","15752.9931640625","15051.3876953125","42841153"
"2022-01-28","15896.2021484375","16325.8291015625","15848.4658203125","16087.1474609375","15370.66015625","53177931"
"2022-01-31",,,,,,
"2022-02-01",,,,,,
"2022-02-02",,,,,,
"2022-02-03",,,,,,
"2022-02-04",,,,,,
"2022-02-07","16373.5654296875","16469.0390625","16015.54296875","16134.8837890625","15416.2705078125","37812280"
"2022-02-08","16039.4111328125","16301.9609375","15896.2021484375","16134.8837890625","15416.2705078125","39829401"
"2022-02-09","16134.8837890625","16301.9609375","15896.2021484375","15896.2021484375","15188.21875","46651457"
"2022-02-10","15848.4658203125","16325.8291015625","15776.861328125","16111.015625","15393.4658203125","50101450"
"2022-02-11","16111.015625","16301.9609375","16087.1474609375","16206.48828125","15484.6865234375","30025131"
